iter	Passed	Remaining
0	147	147051
1	162	81070
2	173	57535
3	175	43725
4	177	35343
5	179	29754
6	185	26324
7	187	23292
8	189	20911
9	192	19008
10	193	17437
11	199	16459
12	202	15343
13	203	14354
14	205	13497
15	207	12737
16	208	12084
17	214	11697
18	217	11222
19	219	10737
20	220	10295
21	222	9891
22	230	9797
23	233	9477
24	236	9218
25	238	8924
26	240	8648
27	249	8659
28	251	8418
29	253	8195
30	255	7992
31	263	7977
32	267	7841
33	269	7647
34	270	7461
35	278	7462
36	280	7303
37	282	7142
38	283	6995
39	286	6868
40	296	6923
41	298	6815
42	300	6681
43	301	6555
44	304	6463
45	306	6351
46	307	6239
47	309	6129
48	310	6023
49	316	6005
50	318	5922
51	320	5840
52	322	5759
53	323	5667
54	324	5579
55	326	5495
56	332	5508
57	334	5435
58	336	5365
59	337	5292
60	339	5228
61	352	5327
62	353	5262
63	355	5202
64	365	5254
65	368	5209
66	370	5153
67	371	5097
68	375	5061
69	377	5016
70	379	4964
71	380	4909
72	383	4866
73	386	4833
74	388	4793
75	399	4861
76	403	4835
77	413	4891
78	416	4851
79	418	4813
80	420	4776
81	435	4873
82	436	4820
83	443	4840
84	446	4801
85	447	4759
86	450	4723
87	452	4684
88	460	4718
89	462	4679
90	464	4643
91	466	4606
92	472	4607
93	481	4636
94	482	4600
95	493	4645
96	497	4632
97	501	4615
98	506	4613
99	508	4580
100	511	4556
101	514	4526
102	523	4562
103	544	4693
104	546	4660
105	561	4738
106	572	4775
107	574	4743
108	576	4712
109	578	4680
110	588	4711
111	590	4679
112	592	4646
113	593	4613
114	604	4652
115	606	4623
116	608	4595
117	619	4633
118	622	4605
119	624	4579
120	659	4790
121	661	4757
122	663	4728
123	665	4701
124	677	4740
125	680	4721
126	682	4690
127	694	4728
128	696	4699
129	697	4670
130	707	4695
131	710	4670
132	712	4642
133	720	4655
134	722	4628
135	725	4607
136	727	4583
137	729	4555
138	735	4558
139	737	4529
140	739	4503
141	740	4475
142	742	4448
143	743	4421
144	748	4416
145	751	4394
146	753	4369
147	754	4343
148	756	4320
149	758	4296
150	759	4271
151	766	4274
152	767	4249
153	769	4225
154	770	4200
155	772	4177
156	773	4152
157	774	4127
158	778	4119
159	780	4098
160	781	4074
161	783	4051
162	784	4027
163	785	4004
164	786	3981
165	787	3958
166	789	3936
167	796	3943
168	798	3925
169	800	3906
170	802	3888
171	803	3869
172	810	3875
173	812	3856
174	813	3835
175	815	3817
176	817	3801
177	819	3786
178	826	3792
179	828	3773
180	830	3755
181	832	3740
182	833	3720
183	834	3702
184	839	3699
185	841	3684
186	843	3666
187	844	3648
188	846	3630
189	847	3612
190	848	3595
191	850	3578
192	856	3579
193	858	3565
194	860	3552
195	862	3537
196	863	3520
197	865	3504
198	869	3499
199	872	3490
200	874	3476
201	876	3461
202	877	3446
203	879	3432
204	881	3420
205	884	3408
206	886	3394
207	887	3380
208	889	3366
209	891	3353
210	898	3358
211	900	3347
212	902	3334
213	904	3321
214	906	3308
215	913	3314
216	915	3301
217	916	3288
218	919	3280
219	921	3268
220	926	3267
221	929	3258
222	932	3248
223	934	3235
224	935	3223
225	937	3210
226	943	3214
227	945	3201
228	947	3190
229	949	3180
230	952	3169
231	954	3158
232	962	3169
233	964	3157
234	966	3146
235	968	3134
236	972	3129
237	976	3125
238	977	3113
239	980	3103
240	982	3093
241	984	3083
242	991	3088
243	994	3080
244	996	3069
245	1015	3112
246	1024	3122
247	1026	3111
248	1027	3100
249	1029	3088
250	1031	3078
251	1039	3084
252	1041	3073
253	1042	3063
254	1044	3052
255	1046	3041
256	1052	3043
257	1055	3034
258	1056	3023
259	1059	3014
260	1068	3023
261	1090	3070
262	1102	3090
263	1105	3080
264	1107	3071
265	1109	3061
266	1114	3060
267	1117	3053
268	1120	3044
269	1123	3038
270	1126	3029
271	1134	3035
272	1136	3025
273	1137	3014
274	1139	3005
275	1148	3011
276	1151	3005
277	1153	2996
278	1155	2986
279	1163	2991
280	1166	2984
281	1168	2976
282	1171	2967
283	1177	2968
284	1180	2962
285	1182	2952
286	1192	2962
287	1194	2953
288	1196	2943
289	1198	2933
290	1200	2924
291	1202	2915
292	1209	2917
293	1212	2911
294	1214	2901
295	1216	2892
296	1218	2883
297	1225	2886
298	1227	2878
299	1229	2869
300	1232	2861
301	1241	2869
302	1243	2861
303	1246	2852
304	1248	2845
305	1257	2852
306	1259	2843
307	1262	2836
308	1264	2828
309	1269	2825
310	1273	2822
311	1280	2824
312	1294	2841
313	1297	2834
314	1304	2837
315	1308	2831
316	1310	2823
317	1312	2815
318	1319	2816
319	1323	2812
320	1325	2804
321	1328	2796
322	1332	2793
323	1336	2788
324	1338	2780
325	1341	2773
326	1343	2765
327	1351	2768
328	1353	2760
329	1355	2751
330	1357	2743
331	1359	2734
332	1364	2733
333	1368	2729
334	1371	2722
335	1373	2714
336	1375	2705
337	1382	2708
338	1385	2701
339	1387	2693
340	1389	2684
341	1394	2682
342	1397	2677
343	1399	2669
344	1402	2661
345	1404	2653
346	1410	2655
347	1412	2646
348	1414	2639
349	1417	2631
350	1420	2625
351	1427	2628
352	1429	2620
353	1431	2612
354	1434	2606
355	1436	2598
356	1439	2591
357	1440	2584
358	1443	2577
359	1445	2570
360	1449	2566
361	1453	2561
362	1456	2555
363	1460	2552
364	1462	2544
365	1470	2547
